Продажа;Время;Купюрами;Монетами;Банк. картой;Картой;Моб.приложение;Сдача;Итого;Розлито;На сумму
7641;2023.10.10 13:50:56;0;79;0;0;0;0;79;19,7;79
7640;2023.10.10 13:21:36;0;12;0;0;0;0;12;3;12
7639;2023.10.10 13:20:32;0;12;0;0;0;0;12;3;12
7638;2023.10.10 12:49:50;0;74;0;0;0;0;74;18,4;74
7637;2023.10.10 12:46:18;0;74;0;0;0;0;74;18,4;74
7636;2023.10.10 07:43:47;0;5;0;0;0;0;5;1,2;5
7635;2023.10.10 07:43:23;0;1;0;0;0;0;1;0,2;1
7634;2023.10.09 21:49:26;0;0;40;0;0;0;40;10;40
7633;2023.10.09 20:02:47;0;20;0;0;0;0;20;4,8;19,28
7632;2023.10.09 19:32:10;0;21;0;0;0;0;21;5,1;20,55
7631;2023.10.09 18:40:59;0;10;0;0;0;0;10;2,4;10
7630;2023.10.09 18:40:20;0;10;0;0;0;0;10;2,4;10
7629;2023.10.09 18:39:27;0;16;0;0;0;0;16;4;16
7628;2023.10.09 18:35:47;0;20;0;0;0;0;20;5;20
7627;2023.10.09 18:34:00;0;20;0;0;0;0;20;5;20
7626;2023.10.09 17:42:07;0;12;0;0;0;0;12;3;12
7625;2023.10.09 17:41:01;0;12;0;0;0;0;12;3;12
7624;2023.10.09 17:10:22;0;19;0;0;0;0;19;4,7;19
7623;2023.10.09 17:08:41;0;19;0;0;0;0;19;4,7;19
7622;2023.10.09 16:35:03;0;27;0;0;0;7;20;4,8;19,54
7621;2023.10.09 16:33:30;0;10;0;0;0;1;9;2,1;8,64
7620;2023.10.09 16:33:07;0;11;0;0;0;0;11;2,7;11
7619;2023.10.09 14:15:14;50;0;0;0;0;0;50;12,4;50
7618;2023.10.09 11:53:06;0;0;40;0;0;0;40;9,7;39,18
