Продажа;Время;Купюрами;Монетами;Банк. картой;Картой;Моб.приложение;Сдача;Итого;Розлито;На сумму
26650;2023.09.21 19:24:03;0;50;0;0;0;0;50;10;50
26649;2023.09.21 19:11:36;0;23;0;0;0;0;23;4,6;23,02
26648;2023.09.21 18:42:42;0;0;25;0;0;0;25;5;24,98
26647;2023.09.21 18:41:45;0;0;50;0;0;0;50;10;50
26646;2023.09.21 18:25:42;50;0;0;0;0;0;50;10;50
26645;2023.09.21 18:16:20;0;0;25;0;0;0;25;5;25,02
26644;2023.09.21 18:11:26;0;6;0;0;0;0;6;1,1;6
26643;2023.09.21 18:10:21;0;0;25;0;0;0;25;5;24,98
26642;2023.09.21 17:36:51;0;0;25;0;0;0;25;5;24,98
26641;2023.09.21 17:29:40;50;0;0;0;0;10;40;7,9;39,83
26640;2023.09.21 17:28:30;50;0;0;0;0;0;50;10;50
26639;2023.09.21 17:27:02;0;0;50;0;0;0;50;10;50
26638;2023.09.21 17:25:28;0;0;95;0;0;0;95;19;95,02
26637;2023.09.21 17:21:24;0;25;0;0;0;0;25;5;24,98
26636;2023.09.21 17:14:13;0;25;0;0;0;0;25;5;24,98
26635;2023.09.21 16:56:27;0;30;0;0;0;8;22;4,3;21,61
26634;2023.09.21 16:55:24;0;25;0;0;0;0;25;5;25,02
26633;2023.09.21 16:46:32;0;25;0;0;0;0;25;5;25,02
26632;2023.09.21 16:34:33;0;25;0;0;0;0;25;5;24,98
26631;2023.09.21 16:33:04;0;15;0;0;0;0;15;3;15,02
26630;2023.09.21 16:17:05;0;2;0;0;0;0;2;0,4;2
26629;2023.09.21 16:16:44;0;5;0;0;0;0;5;1;4,98
26628;2023.09.21 14:30:51;0;25;0;0;0;0;25;5;25,02
26627;2023.09.21 13:55:33;0;0;25;0;0;0;25;5;24,98
26626;2023.09.21 13:17:38;0;25;0;0;0;0;25;5;25,02
26625;2023.09.21 12:56:20;0;50;0;0;0;0;50;10;50
26624;2023.09.21 12:40:18;0;50;0;0;0;0;50;10;50
26623;2023.09.21 12:36:49;0;25;0;0;0;0;25;5;24,98
26622;2023.09.21 12:32:33;0;50;0;0;0;0;50;10;50
26621;2023.09.21 11:50:21;0;45;0;0;0;0;45;9;45,02
26620;2023.09.21 11:07:51;50;0;0;0;0;0;50;10;50
26619;2023.09.21 09:40:04;0;25;0;0;0;0;25;5;24,98
26618;2023.09.21 08:43:28;0;0;25;0;0;0;25;5;25,02
26617;2023.09.21 08:42:36;0;0;25;0;0;0;25;5;24,98
26616;2023.09.21 08:15:12;0;0;25;0;0;0;25;5;25,02
26615;2023.09.21 07:48:12;0;24;0;0;0;0;24;4,8;24
26614;2023.09.21 06:52:41;0;5;0;0;0;0;5;1;4,98
26613;2023.09.21 06:52:05;0;0;25;0;0;0;25;5;25,02
26612;2023.09.21 06:51:05;0;0;25;0;0;0;25;5;24,98
26611;2023.09.20 22:05:09;100;0;0;0;0;25;75;15;75,02
26610;2023.09.20 22:01:29;0;25;0;0;0;0;25;5;24,98
26609;2023.09.20 21:34:47;0;0;25;0;0;0;25;5;25,02
26608;2023.09.20 21:34:00;0;0;25;0;0;0;25;5;24,98
26607;2023.09.20 21:33:19;0;0;25;0;0;0;25;5;25,02
26606;2023.09.20 20:44:18;0;10;0;0;0;0;10;0,2;1,15
26605;2023.09.20 20:34:55;0;0;25;0;0;0;25;5;24,98
26604;2023.09.20 20:29:38;100;0;0;0;0;75;25;5;25,02
26603;2023.09.20 20:26:35;100;0;0;0;0;0;100;19,8;99,21
26602;2023.09.20 20:11:29;0;0;25;0;0;0;25;5;24,98
26601;2023.09.20 20:10:12;0;0;25;0;0;0;25;5;24,98
26600;2023.09.20 20:09:14;0;0;25;0;0;0;25;5;25,02
26599;2023.09.20 19:43:49;0;25;0;0;0;0;25;5;25,02
26598;2023.09.20 19:25:25;0;70;0;0;0;0;70;14;69,95
26597;2023.09.20 18:46:36;0;0;25;0;0;0;25;5;25,02
26596;2023.09.20 18:36:49;0;46;0;0;0;0;46;9,2;46
26595;2023.09.20 18:06:31;50;0;0;0;0;0;50;10;50
26594;2023.09.20 17:06:24;0;0;95;0;0;0;95;5,7;28,63
26593;2023.09.20 16:47:25;0;25;0;0;0;0;25;5;25,02
26592;2023.09.20 16:18:49;100;0;0;0;0;3;97;19,3;96,92
26591;2023.09.20 15:50:35;0;25;0;0;0;0;25;5;24,98
